name,total,urban,rural,ct,fraction
AL1 0,2635.1690273399295,1443.2506172737833,1358.6482343937855,AL,1.0
AT1 0,8630.552449451612,5475.82669912143,2973.1655472778148,AT,1.0
BA1 0,3833.393187159166,1580.7289337402535,2289.640065619572,BA,1.0
BE1 0,11232.764962798221,10630.802773131752,503.97408561197653,BE,1.0
BG1 0,7353.47436993667,5358.441365442509,1934.1103197049397,BG,1.0
CH1 0,7768.184204621454,6317.446361134727,1885.1652948772394,CH,1.0
CZ1 0,10364.87399259017,7446.591067335217,2950.483092546562,CZ,1.0
DE1 0,22943.55609005693,14608.670033280256,8327.589461420253,DE,0.2863905416073341
DE1 1,19021.56170392488,17158.323928263406,2047.4467950288204,DE,0.23743465647704023
DE1 2,12713.511920609424,7796.453248274874,5019.0410209531,DE,0.1586950841614543
DE1 3,25434.197899368533,21515.467731273027,4105.622900367814,DE,0.3174797177541714
DK1 0,2577.955399512581,2874.8611284986646,315.72232853993927,DK,0.6519886813473524
DK2 0,1376.032565715842,1459.0611519989723,51.30098110436328,DK,0.3480113186526475
EE6 0,1160.2011788080742,828.1317567185995,388.7118094061335,EE,1.0
ES1 0,41384.36910688025,34310.596193429665,8477.924297092088,ES,0.9859880126376546
ES4 0,588.117958323851,486.0452747009208,23.19341974700656,ES,0.014011987362345529
FI2 0,5123.887255756913,4382.289459551324,888.7000499436309,FI,1.0
FR1 0,24821.089795927182,22241.124505587464,2871.3547028376593,FR,0.39919423351585753
FR1 1,15944.12279975238,13260.750238973646,2745.4074670728924,FR,0.25642717271722054
FR1 2,10239.709387884814,8551.21620294797,1494.3220416519125,FR,0.16468386255919096
FR1 3,11173.054830675335,6139.092877784779,5109.637982857818,FR,0.17969473120773102
GB0 0,28011.30127446718,27160.94681563276,2074.9412935738214,GB,0.46408784866380937
GB0 1,30682.286994516424,24499.90156864039,6824.929052288789,GB,0.5083404167427976
GB5 0,1664.168037536058,721.038888474329,992.23455324472,GB,0.02757173459339309
GR1 0,8244.06980649313,7639.997593136896,1814.357382168969,GR,1.0
HR1 0,3859.64235039703,2465.447945157879,1520.8914060489842,HR,1.0
HU1 0,9865.205617987465,7000.704230997813,2885.5007370703884,HU,1.0
IE5 0,4189.2653381556,2850.5224134903824,1459.4294176044627,IE,1.0
IT1 0,32698.534065838194,26065.201338295803,9166.395662292822,IT,0.5939359691330072
IT1 1,20857.693008637696,14786.862576322717,6253.911162657735,IT,0.37885900591202604
IT3 0,1497.7446753233255,0.0,1488.5168963983888,IT,0.027205024954966812
LT6 0,2801.1587653875476,1979.77946613565,905.1078461463741,LT,1.0
LU1 0,579.9924545179275,595.8184959814058,34.95033155716363,LU,1.0
LV6 0,1812.3956820922594,1226.6229330887527,623.2121223634266,LV,1.0
ME1 0,699.443847519223,319.2040378874069,329.8246777149187,ME,1.0
MK1 0,2023.232623652555,1022.0744807453581,1059.5336212931581,MK,1.0
NL1 0,15310.853061190504,14841.510133155942,1225.5517003591913,NL,1.0
NO2 0,4622.820396278399,3864.501150341766,903.7306335323568,NO,1.0
PL1 0,37758.701136676544,23355.602884665368,14829.346946161677,PL,1.0
PT1 0,8727.483005369802,5842.545535195698,3356.8198115721375,PT,1.0
RO1 0,19501.303075637214,11016.383975921197,8711.425937679936,RO,1.0
RS1 0,7123.502702920469,4079.5641228909963,3123.9454682472197,RS,1.0
SE2 0,8873.536074371168,7893.576817895435,1262.0609332887743,SE,1.0
SI1 0,2276.4225380455077,1102.7794640634272,1024.7070241428564,SI,1.0
SK1 0,5426.916561341491,3183.30368351542,2200.750903626503,SK,1.0
